,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
0,1,['X'],linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",1,1,0.25,0.5,0.3333333333333333
19,2,['Y'],linear,0.00472005208333337,"(0.4391276041666667, 0.43359375, 0.4375)",1,1,0.25,0.5,0.3333333333333333
32,2,"['YY', 'ZY']",linear,0.004671137844378337,"(0.40104697931024585, 0.40282945424308336, 0.41395420486467754)",4,2,0.6111111111111112,0.5833333333333334,0.5555555555555555
17,2,"['YX', 'YY']",linear,0.004671137844378337,"(0.40104697931024585, 0.40282945424308336, 0.41395420486467754)",4,2,0.6111111111111112,0.5833333333333334,0.5555555555555555
30,2,"['YY', 'YZ']",linear,0.004671137844378337,"(0.40104697931024585, 0.40282945424308336, 0.41395420486467754)",4,2,0.6111111111111112,0.5833333333333334,0.5555555555555555
39,2,"['XY', 'YY']",linear,0.004671137844378337,"(0.40104697931024585, 0.40282945424308336, 0.41395420486467754)",4,2,0.6111111111111112,0.5833333333333334,0.5555555555555555
10,1,"['YY', 'YX']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,2,0.5,0.5,0.4375
9,1,"['YY', 'XZ']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
13,1,"['YY', 'ZX']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
8,1,"['YY', 'XY']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,2,0.5,0.5,0.4375
14,3,"['XY', 'ZY']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
2,1,"['YX', 'ZY']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
0,1,"['YX', 'YZ']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
45,1,"['YX', 'YY']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,2,0.5,0.5,0.4375
22,2,['XY'],linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",2,2,0.5,0.5,0.4375
42,1,"['YX', 'XY']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,2,0.5,0.5,0.4375
37,1,"['XZ', 'ZZ']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,2,0.5,0.5,0.4375
36,1,"['XZ', 'ZY']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
23,2,['XZ'],linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",2,2,0.5,0.5,0.4375
3,1,"['YX', 'ZZ']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
15,1,"['ZZ', 'ZX']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,2,0.5,0.5,0.4375
35,1,"['XZ', 'ZX']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,2,0.5,0.5,0.4375
33,1,"['XZ', 'YY']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
32,1,"['XZ', 'YX']",linear,0.0043981638793463285,"(0.40613189036271397, 0.4130157528605851, 0.4286959431171489)",4,3,0.5,0.5,0.4375
