,reps,paulis,entanglement,density_diff,densities,pauli_quantity,pauli_diversity,precision,recall,f1-score
5,3,"['XY', 'Y']",linear,0.036235997183169666,"(0.30722192185681824, 0.24833474214878887, 0.2619195568070988)",3,2,0.6875,0.6666666666666666,0.6571428571428571
14,2,"['ZY', 'Z']",linear,0.03571586858680284,"(0.27754083458352696, 0.23938304871319113, 0.272657000016461)",3,2,0.5857142857142857,0.5833333333333334,0.5804195804195803
41,2,"['YZ', 'YY']",linear,0.03569223611040834,"(0.3519309730885666, 0.33045043194851953, 0.38035436302928916)",4,2,0.7571428571428571,0.75,0.7482517482517482
19,2,"['ZY', 'YY']",linear,0.03569223611040834,"(0.3519309730885666, 0.33045043194851953, 0.38035436302928916)",4,2,0.7571428571428571,0.75,0.7482517482517482
16,3,"['Y', 'Z']",linear,0.0355393071647202,"(0.29478529441598705, 0.26442570144026945, 0.30514472279399224)",2,2,0.7571428571428571,0.75,0.7482517482517482
7,3,"['X', 'XZ']",linear,0.03535134803144774,"(0.2876249746302387, 0.2546181877983768, 0.29231409702941036)",3,2,0.38888888888888884,0.4166666666666667,0.37777777777777777
13,2,"['Z', 'XZ']",linear,0.03490405848768002,"(0.3029048932250885, 0.2485782826245692, 0.26405978899940996)",3,2,0.7571428571428571,0.75,0.7482517482517482
39,3,"['XX', 'Y']",linear,0.03483448806523387,"(0.2929335024345758, 0.26685041024250694, 0.31043629418090585)",3,2,0.6875,0.6666666666666666,0.6571428571428571
1,2,"['Y', 'XZ']",linear,0.034803937948265085,"(0.35885690378134005, 0.2991594292114914, 0.3090698305381729)",3,3,0.6875,0.6666666666666666,0.6571428571428571
23,2,"['ZY', 'ZZ']",linear,0.03471741311139864,"(0.37584336333163854, 0.3467405662073946, 0.3870725953059479)",4,2,0.7571428571428571,0.75,0.7482517482517482
45,2,"['YZ', 'ZZ']",linear,0.03471741311139864,"(0.37584336333163854, 0.3467405662073946, 0.3870725953059479)",4,2,0.7571428571428571,0.75,0.7482517482517482
9,3,"['X', 'YY']",linear,0.034454217622818084,"(0.29234185397679074, 0.2740535584648206, 0.32467369819848657)",3,2,0.5,0.5,0.5
41,3,"['ZY', 'ZZ']",linear,0.03419793629726875,"(0.32558091282025425, 0.3024261028116021, 0.34766716539748743)",4,2,0.8333333333333334,0.8333333333333334,0.8333333333333334
17,3,"['YZ', 'ZZ']",linear,0.03419793629726875,"(0.32558091282025425, 0.3024261028116021, 0.34766716539748743)",4,2,0.8333333333333334,0.8333333333333334,0.8333333333333334
15,3,"['YZ', 'ZX']",linear,0.033734702466737876,"(0.3462727867247805, 0.3294533188104652, 0.38010325582962556)",4,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
26,3,"['XZ', 'ZY']",linear,0.033734702466737876,"(0.3462727867247805, 0.3294533188104652, 0.38010325582962556)",4,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
35,3,"['ZY', 'XZ']",linear,0.033734702466737876,"(0.3462727867247805, 0.3294533188104652, 0.38010325582962556)",4,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
26,3,"['ZX', 'YZ']",linear,0.033734702466737876,"(0.3462727867247805, 0.3294533188104652, 0.38010325582962556)",4,3,0.6666666666666666,0.6666666666666666,0.6666666666666666
17,3,"['Y', 'XX']",linear,0.03370807311165408,"(0.3045608044019915, 0.27052113789558324, 0.3038976176124831)",3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
